place_id,name,address,zip,city,rating,user_ratings_total,business_status,lat,lng,types
ABRA-099920,Stop & Shop Liquors,"3011 RHODE ISLAND AVENUE NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.933532452712,-76.966595073732,
ABRA-100211,Capitol Hill Wine & Spirits,"323 PENNSYLVANIA AVENUE SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.886743498401,-77.001709469095,
ABRA-100341,Wardman Wines,"625 MONROE STREET NE, WASHINGTON, DC 20017",20017,Washington,,,OPERATIONAL,38.932305910402,-76.996924064715,
ABRA-102043,Toni's Market,"5319 EAST CAPITOL STREET SE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.88963436041,-76.925281499126,
ABRA-103150,Oasis Market,"1179 3RD STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.905218912714,-77.001966588983,
ABRA-103161,New Congressional Liquor,"404 1ST STREET SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.884951071251,-77.005818276212,
ABRA-103575,Chevy Chase Wine & Spirits,"5544 CONNECTICUT AVENUE NW, WASHINGTON, DC 20015",20015,Washington,,,OPERATIONAL,38.964173061106,-77.075230570127,
ABRA-104027,Daily 14 Mart,"1135 14TH STREET NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.904574710236,-77.031873579868,
ABRA-104158,Hamilton Liquors,"5205 GEORGIA AVENUE NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.953016334391,-77.027513587204,
ABRA-104222,Michigan Liquors,"3934 12TH STREET NE, WASHINGTON, DC 20017",20017,Washington,,,OPERATIONAL,38.937643883487,-76.990547505029,
ABRA-104374,Georgia Avenue Food Barn,"6205 GEORGIA AVENUE NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.965049302258,-77.027626604022,
ABRA-104606,Sylvia's Liquors,"1818 BENNING ROAD NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.899123316249,-76.976926863189,
ABRA-105806,Exotic Wine and Liquors,"2300 WASHINGTON PLACE NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.919983061273,-76.995766591936,
ABRA-105822,Mudrick's Supermarket,"1064 BLADENSBURG ROAD NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.903843068422,-76.981103849691,
ABRA-106515,Zachys Fine Wine Storage,"3521 V STREET NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.918540161813,-76.957628139651,
ABRA-106551,Kovaks Liquors,"1237 MOUNT OLIVET ROAD NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.909708514331,-76.983789138379,
ABRA-106557,Minnesota Liquor,"2237 MINNESOTA AVENUE SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.871637570779,-76.974262801039,
ABRA-106753,Wine & Spirit Depot / Central Liquors,"625 E STREET NW, WASHINGTON, DC 20004",20004,Washington,,,OPERATIONAL,38.896186509957,-77.020435382701,
ABRA-106962,DC Food Market,"2200 16TH STREET SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.863551496391,-76.982621589567,
ABRA-108135,Noma Wine & Liquor,"22 M STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.905699507584,-77.008248514051,
ABRA-108146,Downtown Liquors,"3712 14TH STREET NW, WASHINGTON, DC 20010",20010,Washington,,,OPERATIONAL,38.937552910683,-77.032803864746,
ABRA-108607,Southern Express Liquors,"4416 SOUTHERN AVENUE SE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.873138181862,-76.934804645139,
ABRA-109197,Union Liquor 2012,"1537 GOOD HOPE ROAD SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.866298159211,-76.982830527034,
ABRA-109538,Domestique,"10 FLORIDA AVENUE NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.910964871305,-77.009602660185,
ABRA-109749,Holiday Inn (Capitol),"550 C STREET SW, WASHINGTON, DC 20024",20024,Washington,,,OPERATIONAL,38.885982920576,-77.019297837807,
ABRA-109780,Van Ness Liquors,"4201 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",20008,Washington,,,OPERATIONAL,38.943230030537,-77.06288395963,
ABRA-110217,Courtyard By Marriott & Residence Inn By Marriott Washington Downtown Convention Center,"901 L STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.904231027236,-77.024017934098,
ABRA-110406,Morris Miller Wine and Spirits,"7804 ALASKA AVENUE NW, WASHINGTON, DC 20012",20012,Washington,,,OPERATIONAL,38.983925454911,-77.026886257448,
ABRA-110450,Residence Inn Dupont Circle,"2120 P STREET NW, WASHINGTON, DC 20037",20037,Washington,,,OPERATIONAL,38.909580916872,-77.047578753521,
ABRA-110767,Hill Spirits Unlimited,"1015 HALF STREET SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.878241276687,-77.007531814852,
ABRA-110789,Benning Liquors,"3445 BENNING ROAD NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.896208077207,-76.956300793389,
ABRA-110876,Zoo Wine & Spirits,"3000 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",20008,Washington,,,OPERATIONAL,38.929744899092,-77.055210134961,
ABRA-111473,Gallagher & Graham Fine Spirits,"1939 12TH STREET NW, WASHINGTON, DC 20009",20009,Washington,,,OPERATIONAL,38.916136950369,-77.028008068443,
ABRA-111948,Hilton Garden Inn-DC/U.S. Capitol,"1225 1ST STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.905928310315,-77.005809586586,
ABRA-112278,ABT Liquor,"1618 8TH STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.911300503031,-77.023019516102,
ABRA-112906,Dixie Liquor,"3429 M STREET NW, WASHINGTON, DC 20007",20007,Washington,,,CLOSED_TEMPORARILY,38.905120557903,-77.06809236706,
ABRA-113485,Select Reserves,"500 K STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.902461917241,-77.019002334864,
ABRA-113593,"Cordial Craft Wine, Beer & Spirits","70 DISTRICT SQUARE SW, ##217, WASHINGTON, DC 20024",20024,Washington,,,OPERATIONAL,38.879875863715,-77.025520710341,
ABRA-114228,AC Hotel Washington DC,"1112 19TH STREET NW, WASHINGTON, DC 20036",20036,Washington,,,OPERATIONAL,38.904135162401,-77.043529409805,
ABRA-114978,S&S Wine & Spirits,"6925 4TH STREET NW, WASHINGTON, DC 20012",20012,Washington,,,OPERATIONAL,38.974527108761,-77.017932110859,
ABRA-115232,Pearson's Wine and Spirits,"2436 WISCONSIN AVENUE NW, WASHINGTON, DC 20007",20007,Washington,,,OPERATIONAL,38.921892955025,-77.072601450584,
ABRA-115850,Han Towers Market,"4201 CATHEDRAL AVENUE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.930305911809,-77.080628827989,
ABRA-115969,King Avenue Liquor,"2757 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DC 20032",20032,Washington,,,OPERATIONAL,38.846616475567,-76.996338611233,
ABRA-116325,Bottle House,"3443 14TH STREET NW, WASHINGTON, DC 20010",20010,Washington,,,OPERATIONAL,38.933106911573,-77.032656548084,
ABRA-116408,Dix Market,"6221 DIX STREET NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.894267054717,-76.912001251832,
ABRA-116481,Sav-on Liquors,"1534 14TH STREET NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.910524291584,-77.032028575953,
ABRA-116730,Classy Corks Wine and Spirits,"801 VIRGINIA AVENUE SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.878146063153,-76.99493046068,
ABRA-116790,A-1 Wine & Liquors,"1420 K STREET NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.902461917738,-77.03234141256,
ABRA-116822,JS Mart Liquor,"936 RHODE ISLAND AVENUE NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.922266868704,-76.993355116019,
ABRA-116834,"Splash Liquor, Wine and Groceries","213 UPSHUR STREET NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.942266523556,-77.013955977541,
ABRA-116841,Wegmans,"41 RIDGE SQUARE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.9407445,-77.0772853,
ABRA-116889,Max Liquors,"605 DIVISION AVENUE NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.897776110772,-76.925804940486,
ABRA-116946,Corner Market,"1449 HOWARD ROAD SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.858345782517,-76.98734620339,
ABRA-117003,Westchester Market,"4000 CATHEDRAL AVENUE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.929369078314,-77.078783239937,
ABRA-117214,Hilton Washington DC/National Mall,"480 L'ENFANT PLAZA SW, WASHINGTON, DC 20024",20024,Washington,,,OPERATIONAL,38.884151396309,-77.025487320941,
ABRA-117278,H Street Beverage Warehouse,"1431 H STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.900143791183,-76.984689268897,
ABRA-117331,Cambria Hotel Washington DC Capitol Riverfront,"69 Q STREET SW, WASHINGTON, DC 20024",20024,Washington,,,OPERATIONAL,38.870802736339,-77.011308684071,
ABRA-117405,H Street Fine Wine and Liquors,"475 H STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.899866718805,-77.018224477211,
ABRA-117572,Chinatown Liquor,"602 H STREET NW, WASHINGTON, DC 20001",20001,Washington,,,OPERATIONAL,38.899752917825,-77.020021194284,
ABRA-117743,Good Ole Reliable Liquors,"1513 RHODE ISLAND AVENUE NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.92565183956,-76.982975222642,
ABRA-117760,Watergate Vintners & Spirits,"2544 VIRGINIA AVENUE NW, WASHINGTON, DC 20037",20037,Washington,,,OPERATIONAL,38.899322069506,-77.054418162033,
ABRA-117766,Suburban Liquors,"4347 HUNT PLACE NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.900463914703,-76.940030612911,
ABRA-117995,Suite Shop,"1475 MASSACHUSETTS AVENUE NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.906413216732,-77.033964039289,
ABRA-118028,Shipley Liquors,"2281 SAVANNAH STREET SE, WASHINGTON, DC 20020",20020,Washington,,,OPERATIONAL,38.847889619231,-76.971296320758,
ABRA-118033,Courtyard by Marriott Washington DC/US Capitol,"1325 2ND STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.907572788508,-77.003415585551,
ABRA-118072,"Mid-City's Beer, Wine, Spirits and More","1000 S STREET NW, WASHINGTON, DC 20001",20001,Washington,,,CLOSED_TEMPORARILY,38.914027553443,-77.026063655231,
